panel,n,angular_sigma,fit,sigma_min,sigma_max,slope,intercept,r_squared,slope_mc_se,intercept_mc_se,slope_residual_se,intercept_residual_se,r_squared_mc_q025,r_squared_mc_q975
B,6,0.0,unweighted OLS with free intercept,0.0,0.1,3.6132201784725635,0.0028684206764358483,0.9996345173307918,0.008445371174529152,0.00026588820567950396,0.02302957611067929,0.0013624480964174364,0.9993705489040091,0.9997696801995654
C,3,0.0,unweighted OLS with free intercept,0.0,0.1,2.61574390295698,0.001168075246569547,0.9996361267782725,0.011000216482734183,0.00034657569696251435,0.016635200643709002,0.0009841517421605255,0.9989845661520068,0.999832816554214
C,4,0.0,unweighted OLS with free intercept,0.0,0.1,3.1493950242781135,0.001497475369278231,0.9994989255014026,0.018534362045715107,0.0005868514592722986,0.023505303696324923,0.0013905925199344455,0.9982876175326825,0.9997855628520367
C,5,0.0,unweighted OLS with free intercept,0.0,0.1,3.647519695801296,0.0028459779609457114,0.999523199302104,0.015415645745189133,0.0004856138096779669,0.026555127612935426,0.001571022536085176,0.9988506858228923,0.9997465077269484
C,6,0.0,unweighted OLS with free intercept,0.0,0.1,3.6033193523138194,0.003400281192919699,0.9994599149392219,0.015350748151212677,0.00048370935078120527,0.027920930740585666,0.0016518245387970342,0.9988221987989897,0.9996813282716405
C,7,0.0,unweighted OLS with free intercept,0.0,0.1,3.4817635061153145,0.0032445444018125574,0.9996446312103564,0.015348147089963139,0.0004827497725376954,0.0218823941743059,0.0012945798978042792,0.9991441803817579,0.999775981476991
C,8,0.0,unweighted OLS with free intercept,0.0,0.1,3.4587083635802194,0.0012522308324312142,0.9998583753677882,0.015277623820434813,0.000476823662504492,0.013721223626520368,0.0008117585369624594,0.9993378821631891,0.9999254982248811
C,9,0.0,unweighted OLS with free intercept,0.0,0.1,3.4156253981276867,-0.0005231763207133311,0.9998705851212618,0.015039677481153261,0.0004677140417793283,0.012952964888906538,0.0007663077371045912,0.9993957871293923,0.9999267724566344
C,10,0.0,unweighted OLS with free intercept,0.0,0.1,3.301335233849837,0.000879592390599121,0.9998540774104216,0.01442847974175121,0.00044955521075552195,0.013294172978026687,0.0007864938798833289,0.999382304423275,0.9999268763685761
D,6,0.0,unweighted OLS with free intercept,0.0,0.1,3.6287165760989017,0.002363820996001853,0.9997970267021619,0.019138328293065672,0.0005988472222342393,0.01723436662698543,0.0010195988797643521,0.9990794288621642,0.9998760200250831
D,6,0.02,unweighted OLS with free intercept,0.0,0.1,3.5861142084560416,0.00383341169202224,0.9988676928024133,0.018714404801645216,0.0005888499139997357,0.04024676821147473,0.0023810309175100195,0.9975686432156652,0.999437289897052
D,6,0.05,unweighted OLS with free intercept,0.0,0.1,3.6003333775113417,0.0035870263965801508,0.9992645236671025,0.019091507970761184,0.0006000661769478136,0.03255858921675738,0.0019261921143150348,0.9984038443433828,0.9995398047162211
D,6,0.1,unweighted OLS with free intercept,0.0,0.1,3.6088198970529914,0.002749399116326462,0.9994693416597155,0.019064808634533404,0.0005993592136828652,0.027718307767296366,0.0016398372020383506,0.9985480101105373,0.9997324178648678
