panel,n,sigma,angular_sigma,seed_sequence,accepted,attempted,rejected,acceptance_fraction,mean_gap,sample_sd,sem,normal_assembly_max_error
B,6,0.0,0.0,20260909;66;6;0;0,20000,20000,0,1.0,0.0,0.0,0.0,5.551115123125783e-17
B,6,0.01,0.0,20260909;66;6;0;1,20000,20000,0,1.0,0.03762665771867642,0.01977803649468438,0.00013985183723946339,4.440892098500626e-16
B,6,0.02,0.0,20260909;66;6;0;2,20000,20000,0,1.0,0.07493268563382437,0.039113415569503894,0.0002765736138456369,8.881784197001252e-16
B,6,0.03,0.0,20260909;66;6;0;3,20000,20000,0,1.0,0.11162886134109204,0.05808989225860945,0.0004107575673445867,4.440892098500626e-16
B,6,0.04,0.0,20260909;66;6;0;4,20000,20000,0,1.0,0.14940691413225,0.0790679722175967,0.0005590949932973217,8.881784197001252e-16
B,6,0.05,0.0,20260909;66;6;0;5,20000,20000,0,1.0,0.18584843259414266,0.09718654258872102,0.0006872126330455983,4.440892098500626e-16
B,6,0.06,0.0,20260909;66;6;0;6,20000,20000,0,1.0,0.22222656871009303,0.11714907235673429,0.0008283690347316034,4.440892098500626e-16
B,6,0.07,0.0,20260909;66;6;0;7,20000,20000,0,1.0,0.25787325462970906,0.1353091570408571,0.0009567802250022554,8.881784197001252e-16
B,6,0.08,0.0,20260909;66;6;0;8,20000,20000,0,1.0,0.2933189343548509,0.15435941576609136,0.0010914858962819687,4.440892098500626e-16
B,6,0.09,0.0,20260909;66;6;0;9,20000,20000,0,1.0,0.3252254425539599,0.17209953143372972,0.0012169274571581768,4.440892098500626e-16
B,6,0.1,0.0,20260909;66;6;0;10,20000,20000,0,1.0,0.36073597393210505,0.19089047645831167,0.001349799503676032,1.3322676295501878e-15
C,3,0.0,0.0,20260909;67;3;0;0,6000,6000,0,1.0,2.220446049250313e-16,0.0,0.0,1.6653345369377348e-16
C,3,0.01,0.0,20260909;67;3;0;1,6000,6000,0,1.0,0.026632655748823803,0.013926901666922268,0.00017979552740086087,2.220446049250313e-16
C,3,0.02,0.0,20260909;67;3;0;2,6000,6000,0,1.0,0.05360739620940054,0.028132630804564594,0.00036319070197026815,2.220446049250313e-16
C,3,0.03,0.0,20260909;67;3;0;3,6000,6000,0,1.0,0.0801037384899812,0.04152808835472167,0.0005361253153255574,4.440892098500626e-16
C,3,0.04,0.0,20260909;67;3;0;4,6000,6000,0,1.0,0.10721525874807802,0.056979068520181156,0.0007355966115369097,2.220446049250313e-16
C,3,0.05,0.0,20260909;67;3;0;5,6000,6000,0,1.0,0.13255320357019879,0.06960953407749781,0.0008986552207313557,4.440892098500626e-16
C,3,0.06,0.0,20260909;67;3;0;6,6000,6000,0,1.0,0.1572376003894897,0.08226094683698816,0.0010619842571430295,6.661338147750939e-16
C,3,0.07,0.0,20260909;67;3;0;7,6000,6000,0,1.0,0.18401574060637063,0.09462876543616659,0.0012216521086881374,4.440892098500626e-16
C,3,0.08,0.0,20260909;67;3;0;8,6000,6000,0,1.0,0.2143733630783389,0.11224846397788416,0.001449121438745695,4.440892098500626e-16
C,3,0.09,0.0,20260909;67;3;0;9,6000,6000,0,1.0,0.23514041772264152,0.12221319917106867,0.0015777656169209302,2.7755575615628914e-16
C,3,0.1,0.0,20260909;67;3;0;10,6000,6000,0,1.0,0.2606285997752799,0.13611223315455684,0.0017572013740756655,4.440892098500626e-16
C,4,0.0,0.0,20260909;67;4;0;0,6000,6000,0,1.0,0.0,0.0,0.0,4.440892098500626e-16
C,4,0.01,0.0,20260909;67;4;0;1,6000,6000,0,1.0,0.0323368763992053,0.024132820829858674,0.0003115533772368337,4.440892098500626e-16
C,4,0.02,0.0,20260909;67;4;0;2,6000,6000,0,1.0,0.06255532731768183,0.04788764360782239,0.000618226820607374,5.551115123125783e-16
C,4,0.03,0.0,20260909;67;4;0;3,6000,6000,0,1.0,0.09714944102782148,0.0733317566139124,0.0009467089070460612,4.440892098500626e-16
C,4,0.04,0.0,20260909;67;4;0;4,6000,6000,0,1.0,0.128699598703777,0.09808659463708075,0.0012662924917187048,4.440892098500626e-16
C,4,0.05,0.0,20260909;67;4;0;5,6000,6000,0,1.0,0.15969622161251615,0.11755719909121815,0.0015176569143569253,4.440892098500626e-16
C,4,0.06,0.0,20260909;67;4;0;6,6000,6000,0,1.0,0.19255470924501136,0.14433261028911465,0.0018633259865479543,2.220446049250313e-16
C,4,0.07,0.0,20260909;67;4;0;7,6000,6000,0,1.0,0.22395686543561552,0.16345114082839493,0.0021101451544899225,4.440892098500626e-16
C,4,0.08,0.0,20260909;67;4;0;8,6000,6000,0,1.0,0.2537064509448672,0.18730747456182334,0.0024181290986603704,1.3322676295501878e-15
C,4,0.09,0.0,20260909;67;4;0;9,6000,6000,0,1.0,0.28716130657826777,0.21078115240596312,0.0027211729765423418,8.881784197001252e-16
C,4,0.1,0.0,20260909;67;4;0;10,6000,6000,0,1.0,0.3108226951502585,0.22614795959417477,0.002919557604290089,6.661338147750939e-16
C,5,0.0,0.0,20260909;67;5;0;0,6000,6000,0,1.0,1.1102230246251565e-16,0.0,0.0,4.440892098500626e-16
C,5,0.01,0.0,20260909;67;5;0;1,6000,6000,0,1.0,0.037572493556175375,0.01935828309495991,0.00024991436012649433,4.440892098500626e-16
C,5,0.02,0.0,20260909;67;5;0;2,6000,6000,0,1.0,0.07508918122977909,0.038850973532783654,0.0005015639115880541,4.440892098500626e-16
C,5,0.03,0.0,20260909;67;5;0;3,6000,6000,0,1.0,0.11257391888146477,0.05840734105554584,0.0007540355306812859,4.440892098500626e-16
C,5,0.04,0.0,20260909;67;5;0;4,6000,6000,0,1.0,0.1521581286112068,0.07883540689288296,0.0010177607266254037,4.996003610813204e-16
C,5,0.05,0.0,20260909;67;5;0;5,6000,6000,0,1.0,0.1881625824201027,0.09942546152741288,0.0012835771889488545,4.440892098500626e-16
C,5,0.06,0.0,20260909;67;5;0;6,6000,6000,0,1.0,0.2233587691564783,0.11819205142187174,0.001525852822703333,4.440892098500626e-16
C,5,0.07,0.0,20260909;67;5;0;7,6000,6000,0,1.0,0.25880127279545195,0.13504439270467458,0.00174341561314633,4.440892098500626e-16
C,5,0.08,0.0,20260909;67;5;0;8,6000,6000,0,1.0,0.2969241154201866,0.1557801826882381,0.0020111135107356505,4.440892098500626e-16
C,5,0.09,0.0,20260909;67;5;0;9,6000,6000,0,1.0,0.3306041522896892,0.17136552690791665,0.002212319439428067,4.440892098500626e-16
C,5,0.1,0.0,20260909;67;5;0;10,6000,6000,0,1.0,0.36219697590057953,0.1908567970439148,0.0024639506548719036,8.881784197001252e-16
C,6,0.0,0.0,20260909;67;6;0;0,6000,6000,0,1.0,0.0,0.0,0.0,5.551115123125783e-17
C,6,0.01,0.0,20260909;67;6;0;1,6000,6000,0,1.0,0.0379118871418989,0.01962112572910262,0.0002533076439421877,8.881784197001252e-16
