beta,parameter,realization,seed,N,pairs,local,regional,sum_W_real,sum_W_imag,area,null,corr,corr_centered,corr_centered_rms
0.0,4,0,6000,64,161,0.08840274555380292,0.06687575125637497,-0.06571385514954775,-0.012411903459534163,222.15357885831577,0.7969590864179692,-0.3865955753350712,-0.38667552553222867,-0.3059940134159904
0.0,6,0,6000,144,385,0.08311001918183679,0.043345286551614744,0.04165289640484815,0.01199375201213456,499.0589967966619,1.1283985104770609,-0.3879156949019654,-0.38780565951866736,-0.30379913807022296
0.0,8,0,6000,256,705,0.08721688503351545,0.15105348073443087,-0.03501579467914784,0.14693892664973035,887.4572105702215,1.586653771303641,-0.3860420592888262,-0.38611708864075145,-0.30220589901013994
0.0,10,0,6000,400,1121,0.08912621093262203,0.18685479286067483,-0.1612985397802884,0.09432653221523842,1384.9325666856773,2.0184837721253284,-0.4038478139031121,-0.40384450172920505,-0.32253497023464195
0.0,12,0,6000,576,1633,0.08982650613474245,0.16167320880479516,0.13725172752691295,-0.08544114779260018,1995.6837977355926,2.4478730727509657,-0.4102164379527905,-0.4102318024286996,-0.3277748072708366
0.1,4,0,6000,64,161,0.3528634365690446,22.150331670708674,22.1502485851751,-0.060669080660483946,222.15357885831577,2.8895248742393176,0.9508423349450756,-0.35983581941004794,-0.2893589887426903
0.1,6,0,6000,144,385,0.3516395957098612,49.822315800099894,49.822231981301904,-0.09138974899416759,499.0589967966619,4.3127747634254785,0.957636606422949,-0.35901583172767604,-0.2842281452857503
0.1,8,0,6000,256,705,0.35218995949490417,88.65790724558872,88.65788824342047,-0.05804640022546027,887.4572105702215,5.778256438569339,0.9563018610257744,-0.3642976366770234,-0.28559030823441967
0.1,10,0,6000,400,1121,0.3513028800009335,138.18471803689982,138.18465883790657,0.12790929942035373,1384.9325666856773,7.21717821792029,0.9564248597831924,-0.3904769145697519,-0.31144174596286234
0.1,12,0,6000,576,1633,0.352593537832294,199.72986474561466,199.7297963620772,-0.16527693336136054,1995.6837977355926,8.695715140353865,0.9559794023590056,-0.3954508873250819,-0.3161597384982845
0.4,4,0,6000,64,161,1.3890732650398234,88.79837355634439,88.79813590614904,-0.2054406122633475,222.15357885831577,11.149265749135584,0.9976190114726713,-0.22220197690414512,-0.17728363973963618
0.4,6,0,6000,144,385,1.3845260725975161,199.16437401405298,199.16396923599308,-0.4015402520130781,499.0589967966619,16.665738642937058,0.9977984995045941,-0.1812187951101283,-0.1438236668779342
0.4,8,0,6000,256,705,1.3871463197872043,354.73723876350635,354.73660035771934,-0.6730023808510432,887.4572105702215,22.2688855319476,0.9978094740972547,-0.20035468709519558,-0.1551824613161486
0.4,10,0,6000,400,1121,1.3844478370024742,553.2225782252757,553.2225309709672,0.228657601035667,1384.9325666856773,27.789116577935577,0.9978695006288472,-0.2507499177862944,-0.19352658955155871
0.4,12,0,6000,576,1633,1.3876243155445798,798.5075328635905,798.5074302657281,-0.4047842900676774,1995.6837977355926,33.42448032669569,0.9979453183772274,-0.25607029143528887,-0.19892798195055036
0.0,4,1,6001,64,161,0.08670475288642432,0.06690352198030176,0.06447386174544167,-0.017866236453108787,221.74061721447944,0.7630905176892779,-0.3760342855826523,-0.3759207267244427,-0.30776957882065625
0.0,6,1,6001,144,385,0.08514369578128195,0.06437822608747894,0.042572801661112436,-0.04829195122268446,498.05615329041086,1.1244727269496315,-0.40111395974022884,-0.4011918790494227,-0.33089555160033063
0.0,8,1,6001,256,705,0.08489922856779852,0.19412847559788055,-0.09885275095618296,-0.16707482954159125,886.8279100890195,1.5024723713499133,-0.3893865244069902,-0.3893572872180368,-0.32322069385226115
0.0,10,1,6001,400,1121,0.08474696057468696,0.06655528821301596,0.03648313981138962,-0.05566495215681244,1385.5488333946423,1.8957215396944167,-0.39187251172726073,-0.39187042503935626,-0.3198662512867054
0.0,12,1,6001,576,1633,0.08579244039977779,0.17408200990077613,-0.17398952321134997,-0.005673798003191816,1995.6956425800797,2.3168492705132073,-0.40978092689882284,-0.4098025639663827,-0.33155956508447654
0.1,4,1,6001,64,161,0.35265133508148755,22.22879018751237,22.228770995521664,0.029210085605654745,221.74061721447944,2.8862519607910313,0.9606481310501893,-0.36491510509966346,-0.2939807362195338
