condition,realization,radius_low,radius_high,n,area,regional_gap,local_mean_gap,coherence,normalized_gap,Dxx,Dxy2,major_axis_degrees
coherent,0,0.0,3.0,7,24.417023457070798,0.05532539371089661,0.055325393792951406,0.9999999985168693,0.028444613954477522,0.05532539371089661,-8.73276498789478e-15,-4.5218889891735e-12
coherent,0,3.0,6.0,30,104.64365978031105,0.055212663645720986,0.05521284381656015,0.9999967367947978,0.0283846220612484,0.055212663645720986,-9.089631446777575e-15,-4.716286851975756e-12
coherent,0,6.0,9.0,36,125.55358177495918,0.05356915874148759,0.053618831629531606,0.999073592494756,0.02750762990306331,0.05356915874148759,-9.276436847587935e-15,-4.960883209416546e-12
coherent,0,9.0,12.0,54,188.0245341755216,0.0473881718221492,0.04917888058799318,0.9635878502228215,0.02410904577025048,0.0473881718221492,-7.845499526931347e-15,-4.742892517062111e-12
coherent,0,12.0,15.0,72,250.60587981869423,0.05129869795319252,0.05556842903078633,0.9231626455513389,0.025714729397188527,0.05129869795319252,-5.355504267755888e-15,-2.9907951268733554e-12
coherent,0,15.0,18.0,102,354.45786281743835,0.04884723547551192,0.0520256050302358,0.9389075907358174,0.024415790332276952,0.04884723547551192,-2.8768217593970765e-15,-1.68719625195048e-12
coherent,0,18.0,21.0,96,332.7999165507121,0.048914062272208014,0.05061491022857997,0.966396305976029,0.024448303734512258,0.048914062272208014,-1.7354328125554285e-15,-1.0164048043545953e-12
coherent,0,21.0,24.0,120,415.5332665381726,0.04916192689118316,0.05012922033395016,0.9807039998563093,0.02457273014516371,0.04916192689118316,-7.199173160730979e-16,-4.1951390453708796e-13
coherent,0,24.0,27.0,144,498.31539945722596,0.049556131094415416,0.05016787941814207,0.9878059760384166,0.02476999820392367,0.049556131094415416,1.176136108452591e-15,6.799121890577571e-13
coherent,0,27.0,30.0,162,560.403369398412,0.04964576639641886,0.050044622541420794,0.99202998994204,0.02481494672617222,0.04964576639641886,8.617846395719968e-16,4.97289359000005e-13
coherent,0,30.0,33.0,180,622.5439048372757,0.04961670392632625,0.04994670098754073,0.9933930158611116,0.024800490258284676,0.04961670392632625,2.5573454417301164e-15,1.476570277478768e-12
coherent,0,33.0,36.0,162,560.2303169514205,0.04937565621061425,0.049803404306740996,0.9914112679227263,0.024680038392103563,0.04937565621061425,2.2333061952265126e-15,1.295770316460035e-12
permuted,0,0.0,3.0,7,26.98866556945439,0.11790881641241036,0.2808154375101466,0.41988010865018777,0.0616067591284238,0.10039784826972031,-0.06182848090148833,-15.813101967228176
permuted,0,3.0,6.0,30,105.2748401450028,0.1110538451587059,0.27724582859365166,0.4005609235746993,0.05609257350744621,0.04584128904376691,0.10115103925981007,32.810068198715236
permuted,0,6.0,9.0,36,123.88725574471329,0.028106595347039114,0.24380151323157612,0.11528474526055102,0.014340260902240488,0.013273812750540992,-0.02477471689173816,-30.90922879328926
permuted,0,9.0,12.0,54,191.1307038226325,0.051587587763017195,0.1821215064468014,0.28325917553337493,0.026291383340490596,-0.044048554391951864,-0.026851518899054103,-74.31698503591939
permuted,0,12.0,15.0,72,246.9326199956692,0.003717648706894418,0.11946499778453004,0.031119145991193663,0.0018440892304678266,-0.003684920379230438,-0.0004922130703322938,-86.19587751441982
permuted,0,15.0,18.0,102,353.49682213147906,0.0017609384852471917,0.04135181713311514,0.04258430722835167,0.0008806212136403328,-0.0010062966075792678,-0.0014450852868945591,-62.42586508370596
permuted,0,18.0,21.0,96,332.10440057598754,0.0004901618175748584,0.01998666890464277,0.024524437759660744,0.0002450673677601264,-0.00046544452863098553,0.00015368798969265114,80.86348797965611
permuted,0,21.0,24.0,120,415.26644355298515,0.0003144815605642136,0.012981990731635794,0.024224448088524204,0.00015723709765583582,-0.0003044991733237682,7.860601363792053e-05,82.76259648537672
permuted,0,24.0,27.0,144,498.1600682060701,0.0005154671865499193,0.0087187284213588,0.059121830803577725,0.00025773079668980567,-0.0004917839336794443,0.00015445058428009033,81.28224222641745
permuted,0,27.0,30.0,162,560.4803610194208,0.0004634724754998894,0.00636793816552935,0.07278218843404272,0.00023173490314570578,-0.0004440938073529979,0.00013261759241033609,81.68652524810169
permuted,0,30.0,33.0,180,622.7579256441212,0.0004616230870825059,0.004922204786117636,0.09378380362890364,0.00023081075862690364,-0.00044228582775310537,0.0001322086271630307,81.67873882280286
permuted,0,33.0,36.0,162,560.4836734430422,0.000461580541513669,0.004054095302507121,0.11385537513837424,0.0002307897452050878,-0.00044216496241284505,0.00013246411709779847,81.6613977198761
permuted,1,0.0,3.0,7,27.136528385322386,0.15301730644073203,0.2985884849171672,0.5124688799810256,0.07870374717168137,0.12384237575960344,-0.08987414554027247,-17.984458688552603
permuted,1,3.0,6.0,30,107.7456329838324,0.05336915052204402,0.2652119854253029,0.20123204626841978,0.027211704791712612,-0.0404697039153404,-0.034791799212591366,-69.65717777440474
permuted,1,6.0,9.0,36,122.53105087834186,0.04328827133228884,0.2447605624789581,0.17685966600934863,0.021797702861300235,-0.024247487704341014,0.03585991878080166,62.03273643918729
permuted,1,9.0,12.0,54,188.29946831216364,0.021588344132884796,0.17679200742512377,0.12211153913181311,0.010978186020235245,0.010744920259859394,0.01872440362225522,30.075411129817528
permuted,1,12.0,15.0,72,250.37754240165572,0.00573871082777307,0.11242031339064079,0.05104692074493744,0.0028809268633951343,-0.0009781314871523006,-0.005654737903620388,-49.90683104498789
permuted,1,15.0,18.0,102,352.8035707236535,0.004828244522994366,0.029773905266241112,0.16216362884948216,0.0024136694102926005,-0.004825258885423763,-0.00016977002816788227,-88.99247940608522
permuted,1,18.0,21.0,96,332.0532535398468,0.0037429341552013082,0.016056958726294725,0.23310355460227436,0.0018713376683751498,-0.0037427142118325223,4.057608556027869e-05,89.68943028463205
permuted,1,21.0,24.0,120,414.98287651795096,0.0038453742656187197,0.011546655482458505,0.3330292716761621,0.0019226511342809705,-0.0038224141953669007,0.0004195866558177437,86.86785931021365
permuted,1,24.0,27.0,144,498.0958414845488,0.0036714052531071424,0.008925615869007851,0.41133354907813735,0.0018356822270612378,-0.003667640245230897,0.00016622744690743675,88.70248753869295
permuted,1,27.0,30.0,162,560.3217874406894,0.003733593624413612,0.007159511204091036,0.5214872241948848,0.0018667832228299514,-0.0037260919850806698,0.00023655838809807881,88.18366921160585
permuted,1,30.0,33.0,180,622.5809912740009,0.0037299877022669986,0.005995861490801802,0.6220937071326847,0.0018649839972250599,-0.003722401594120833,0.0002377701224917188,88.17258543039259
permuted,1,33.0,36.0,162,560.3295872122667,0.0037080304473376797,0.005269039087818175,0.703739407800278,0.001854007388540386,-0.0037007013441948886,0.00023302222953490665,88.1985053977123
permuted,2,0.0,3.0,7,20.621804010977527,0.29726823098052485,0.41330590429533864,0.7192450625338853,0.1400618033611702,-0.05580546796350497,0.29198313460825936,50.41010118094274
permuted,2,3.0,6.0,30,112.18825919335808,0.05234611179989508,0.23060443585780685,0.22699525100277015,0.027679816143544048,-0.031301348825529804,-0.04195641765296006,-63.362285770393605
permuted,2,6.0,9.0,36,122.74667248308045,0.01949835365405776,0.22707656204621368,0.08586687009154884,0.009817540247407558,0.01162531155306212,-0.015653687313631506,-26.700168216954026
permuted,2,9.0,12.0,54,193.46968559241046,0.008600248361569722,0.20153311916058486,0.04267411925836817,0.004381334111863316,0.00707607698893621,-0.004888088207809892,-17.318177957293756
permuted,2,12.0,15.0,72,248.2701235767508,0.008287488054298318,0.09683145527317505,0.08558673450603584,0.0041477484956582746,0.005375702100168664,0.006307478512082267,24.77994824422951
permuted,2,15.0,18.0,102,352.95613633315736,0.0021079226578892907,0.03340240889964903,0.06310690537985238,0.001054108707336604,-0.0012912601170755533,0.0016661288190572422,63.88795260754982
permuted,2,18.0,21.0,96,331.92256015049827,0.0012869242972680162,0.0173686072282971,0.0740948471200009,0.0006434148172851182,-0.0010998621642778783,0.0006681896186628157,74.36021534132465
permuted,2,21.0,24.0,120,414.9277575544058,0.0010322718492076304,0.012756503279447924,0.08092122320626292,0.0005161239645265871,-0.0008240852960243964,0.0006216659839036747,71.48507986061254
permuted,2,24.0,27.0,144,497.8803043317644,0.001144886073928069,0.009670046000956854,0.11839510110032384,0.0005724357600635032,-0.0009805210760542862,0.0005910520634324636,74.45934310011418
permuted,2,27.0,30.0,162,560.1263384342999,0.0011150900112822193,0.0076153358373024825,0.14642689897143243,0.0005575406618256918,-0.0009417624593754232,0.0005970839165247501,73.81250991317738
permuted,2,30.0,33.0,180,622.3659297660342,0.0011145728627525592,0.006168974756084563,0.18067392181386985,0.0005572835937187187,-0.0009408707874359564,0.0005975239139432648,73.79068655702969
permuted,2,33.0,36.0,162,560.1351029394073,0.0011106763823227996,0.005198388009745235,0.21365784551685132,0.0005553361739642514,-0.000938377297843341,0.0005941801689234431,73.8290119450078
permuted,3,0.0,3.0,7,26.44948113159847,0.09532732945194841,0.21639921415842803,0.44051606112653585,0.04951103176245124,-0.07064919184306886,0.0639999330652897,68.91354515608616
permuted,3,3.0,6.0,30,104.59201607456266,0.09671283703984138,0.24277958392565452,0.3983565482567817,0.04975290745303679,-0.06865148285461001,0.06812009064995513,67.61130374761133
permuted,3,6.0,9.0,36,127.21475355627702,0.018275676154514243,0.22146690563842827,0.08252102544093659,0.009282902608224793,0.0033948102373057075,-0.017957605696678078,-39.64740397664847
permuted,3,9.0,12.0,54,190.17449557374175,0.05882280913307038,0.19424909217858116,0.30282153946435,0.029958951357045988,0.04378365008189828,-0.03928250068174779,-20.94915838068771
permuted,3,12.0,15.0,72,249.01184480028974,0.005456380060933968,0.11139555379498962,0.048982027334554055,0.002728608056143819,-0.003742788850637161,0.0039703419234247235,66.65507396010382
permuted,3,15.0,18.0,102,352.63420730058965,0.002356187601235506,0.03967946736047791,0.05938052494077448,0.00117783342545258,-0.0023416801023255955,0.00026106380558843295,86.81930473107269
permuted,3,18.0,21.0,96,331.92358504654044,0.0020588077919735685,0.021548730265844876,0.09554195382160478,0.0010293043611619038,-0.00205167003157171,0.00017128807851575414,87.61380314884012
permuted,3,21.0,24.0,120,414.9424992045232,0.0018651394008667164,0.014790192378482205,0.12610650038469076,0.0009325381602433313,-0.001862700836832584,-9.534451808386594e-05,-88.53490293726887
permuted,3,24.0,27.0,144,497.9069690887443,0.001978179236000558,0.010683394862616888,0.18516391666122553,0.0009890727043326629,-0.001970388273720268,0.0001753942431478724,87.45660972548258
permuted,3,27.0,30.0,162,560.1532055358828,0.0019481466055910302,0.008130402066634502,0.23961257876603953,0.0009740636891158992,-0.001945428340900861,0.00010287743822420673,88.48646245288315
permuted,3,30.0,33.0,180,622.3958136303396,0.0019458921728462604,0.006489972715453654,0.2998305629564178,0.0009729399612918472,-0.0019433101950184779,0.00010020895310093827,88.52404697125503
permuted,3,33.0,36.0,162,560.1620734844464,0.001937585359300677,0.005450503765124069,0.35548739030300847,0.0009687883492688965,-0.0019348413277051723,0.00010308278799304637,88.47516436054936
permuted,4,0.0,3.0,7,25.134225891767517,0.14822329706219856,0.24596895031303276,0.6026097882418165,0.07764044026628779,-0.058235709622965856,0.13630388078370462,56.567276110026036
permuted,4,3.0,6.0,30,106.07046630817712,0.02749149232298522,0.212357915785144,0.1294582884812267,0.01383614470126998,0.02223886475069164,0.016162148518844895,18.003934925955814
permuted,4,6.0,9.0,36,125.8731784955826,0.02512536992205222,0.23378666528840417,0.10747135595204728,0.012966284959340053,0.005622166141024735,-0.0244882719194859,-38.534881165945414
permuted,4,9.0,12.0,54,188.12067999076945,0.023119677555367542,0.20016395661738648,0.11550369979726578,0.011639606202521547,-0.016710614264893762,-0.01597732334135148,-68.14255245895357
permuted,4,12.0,15.0,72,251.01479489190737,0.013713487455550236,0.10777429811926255,0.12724265149354028,0.006868663827205179,0.011729539564803361,0.00710476176878903,15.60196576051598
permuted,4,15.0,18.0,102,352.2043960109139,0.004252336048767664,0.028911315603098346,0.1470820666601541,0.0021247258012413073,0.001496690491565651,0.003980236104065431,34.69610215501914
permuted,4,18.0,21.0,96,332.10986613714795,0.002833978366777772,0.013840791538271861,0.20475551264112296,0.0014169924592869448,0.001871792014008635,0.002127869366210695,24.33167415959795
permuted,4,21.0,24.0,120,415.06959306633587,0.0025192375819009525,0.009829641310134413,0.25628987899116984,0.001259601331695868,0.0015962240186870693,0.001949006638323395,25.34137114524422
permuted,4,24.0,27.0,144,498.1313271348638,0.0028143780336989583,0.007600457054973399,0.37029063033220555,0.0014071764828634849,0.0018453136707542025,0.002124980275930783,24.514623227907613
permuted,4,27.0,30.0,162,560.3814209208438,0.0027477132015223484,0.006048440209227009,0.45428459346108113,0.0013738489330774371,0.0017885201853381951,0.0020859346548868737,24.694791472109262
permuted,4,30.0,33.0,180,622.6480372590779,0.0027440988759467712,0.005025737220521824,0.5460092232322984,0.001372044008199471,0.0017859200099990678,0.0020834030716251864,24.698195815887473
permuted,4,33.0,36.0,162,560.3886580275088,0.0027339579707483445,0.004375708815478681,0.6248034515178915,0.0013669747567366883,0.0017800140777899025,0.0020751086884036145,24.688616286227635
permuted,5,0.0,3.0,7,24.73554466623367,0.16631111781459834,0.25809067599955404,0.6443902600142196,0.08617111499486285,0.16034526843949615,-0.04414502007936035,-7.696441910550149
permuted,5,3.0,6.0,30,107.16264771461633,0.046563805507420765,0.2615241555064505,0.17804781901407296,0.023689130309862777,-0.04143230584752611,0.02124975330421421,76.42383597777099
permuted,5,6.0,9.0,36,125.62660655294275,0.030807095468032144,0.15898009275191174,0.19377957915842067,0.015860390026200582,-0.01891877764165065,-0.024313720071643213,-63.94344220630728
permuted,5,9.0,12.0,54,188.973391916416,0.008895198578480274,0.1822278544678817,0.0488136053868103,0.004474177011682816,0.00496644362621323,-0.007379633829550317,-28.029856590156367
permuted,5,12.0,15.0,72,249.50952830706953,0.008275836833860161,0.0964706635200785,0.08578604657505756,0.004148796581523792,0.002359688857351446,0.00793229751063133,36.71669206962899
permuted,5,15.0,18.0,102,352.97534186195804,0.004771763369470047,0.034980685054886086,0.13641137564867467,0.0023851463536119005,-0.0045928318914046,-0.0012944577519227794,-82.12993926271913
permuted,5,18.0,21.0,96,332.00679942846784,0.003184474139407043,0.01714718498028241,0.1857141066051878,0.0015921773262654627,-0.002798822452171059,-0.001519035360278162,-75.75475338531483
permuted,5,21.0,24.0,120,415.10553402200225,0.003436871771733357,0.01173744608150681,0.29281257165035207,0.0017183996518157186,-0.0027657398530592714,-0.002040286901525682,-71.79189787412781
permuted,5,24.0,27.0,144,498.01809398540814,0.003187945515209954,0.008637380468770826,0.369087077585182,0.001593954793569545,-0.0027719177185698213,-0.001574632899893157,-75.20027758409636
permuted,5,27.0,30.0,162,560.3039965484725,0.0032634777065141483,0.006777907939086244,0.4814874642505266,0.0016317270414647929,-0.0027804549089898082,-0.001708612665289978,-74.21446456205315
permuted,5,30.0,33.0,180,622.5615824017325,0.00326078594344051,0.0056370996335662355,0.5784510041341273,0.0016303846015494176,-0.0027792445299702107,-0.0017054397707248058,-74.23264700168666
permuted,5,33.0,36.0,162,560.3085861661598,0.0032406152550192194,0.004958093121969072,0.6536011275504708,0.0016203011135331913,-0.0027652900864283143,-0.0016896029027450702,-74.28745447485825
permuted,6,0.0,3.0,7,24.997779586708326,0.15280906135719186,0.26935870807074536,0.5673069285625528,0.07844769976628307,0.08736563426145448,0.1253708705519739,27.56449883714317
permuted,6,3.0,6.0,30,105.90540589422365,0.08848187307296064,0.24868109831430046,0.35580457731906545,0.04501879871527847,-0.08668188068746768,0.01775650368127508,84.21164956444343
permuted,6,6.0,9.0,36,132.0778165427876,0.014352484507547074,0.2540679761341529,0.05649072632423647,0.0074440432835196964,0.00041936776023825757,-0.014346356409243831,-44.162813133415554
permuted,6,9.0,12.0,54,184.65748783834624,0.027035071712433297,0.20054436021186928,0.13480843681603177,0.013610373275966689,0.02663234078330251,0.0046490350502499745,4.950989079587171
permuted,6,12.0,15.0,72,249.04781559018159,0.01032606331178068,0.11450762030274317,0.09017795745366045,0.00516173744770491,0.006390226740776831,-0.008111262893061948,-25.884101258123202
permuted,6,15.0,18.0,102,352.52061606369375,0.003720010963418897,0.03913726733515855,0.09505035013206108,0.0018590262454888542,-0.0027450872250459834,0.0025105731805398815,68.77745676837229
permuted,6,18.0,21.0,96,332.0130849023354,0.0030666449738117403,0.018156088343244045,0.1689044972593368,0.001533187794531757,-0.0011216747391096648,0.0028541473639334173,55.727368372359884
permuted,6,21.0,24.0,120,415.0083279558629,0.0034700377474600557,0.012219089760023324,0.28398496251437894,0.0017349796030894094,-0.0014988428414582128,0.003129637695549938,57.79532210009286
permuted,6,24.0,27.0,144,498.0272844584939,0.002962096095068592,0.008737128338011943,0.33902398825728947,0.0014810304562799584,-0.001242769000912475,0.002688780111275671,57.40332015691842
permuted,6,27.0,30.0,162,560.2747495551296,0.0031097083339144977,0.006852209591112323,0.45382562990308317,0.001554842660486958,-0.0013226535475770187,0.0028144046466525045,57.585789813225844
permuted,6,30.0,33.0,180,622.5298022746515,0.0031060783668519394,0.00566970208757743,0.5478380202122957,0.0015530312449446412,-0.0013199848932265168,0.002811647684664526,57.57432897077738
permuted,6,33.0,36.0,162,560.28229693177,0.00308252144025282,0.004962056575671711,0.6212185196287369,0.0015412546841996025,-0.0013090073826888416,0.002790777329290968,57.56440620010961
permuted,7,0.0,3.0,7,22.648861366180235,0.23304266795310008,0.2961468408612781,0.7869159342552722,0.11389964922558367,0.23252058669872983,0.015590440916706982,1.9179623364025093
permuted,7,3.0,6.0,30,108.55954114010987,0.031185252403106902,0.20736922483883327,0.15038515202698946,0.0160495638519338,0.00307430458257959,-0.031033346883296602,-42.17123918121702
permuted,7,6.0,9.0,36,123.12311891783968,0.04145731273893055,0.23938099085370693,0.1731854839061402,0.020859962531621083,-0.026087728686136753,0.03222016746592126,64.49804067980342
permuted,7,9.0,12.0,54,191.3923173593263,0.006367241111138757,0.17509322944367145,0.03636486191596082,0.003230397756569059,0.005395642488373069,0.003380651047511231,16.034643372553887
permuted,7,12.0,15.0,72,249.37846080887746,0.02025234900865483,0.10373610566208351,0.1952295093342534,0.010146907222060972,-0.020163134713179015,-0.0018988519970123418,-87.3100344741267
permuted,7,15.0,18.0,102,352.6884295592328,0.0018779898401187173,0.03303073491407114,0.05685582972962224,0.0009385237403926834,0.0011269067865839174,0.0015023072035839525,26.56289865151991
permuted,7,18.0,21.0,96,332.1325960202204,0.0019966860691449954,0.014825229255449492,0.13468163188174975,0.0009983196737204031,-0.001267291709163646,0.0015429604604793924,64.69877708877614
permuted,7,21.0,24.0,120,415.1699662509736,0.0020418053417301453,0.01014954862872017,0.2011720339909945,0.0010208865004311095,-0.0008823846594446494,0.0018412947526929265,57.80232859543346
permuted,7,24.0,27.0,144,498.1938989491763,0.0019532224094767044,0.007475723234258702,0.2612753774144218,0.0009766034331317652,-0.0012025087994542076,0.0015391719748349053,63.999720982110595
permuted,7,27.0,30.0,162,560.4711093285989,0.001970933667403047,0.005846520704294399,0.3371122359928278,0.0009854622383366253,-0.0011176356499157042,0.0016234130944834488,62.272696793251605
permuted,7,30.0,33.0,180,622.747671683599,0.0019682395784260194,0.0047558831150050305,0.4138536483825965,0.0009841167584035586,-0.001116137959984857,0.0016211733690026729,62.273227230498314
permuted,7,33.0,36.0,162,560.476821635549,0.001956896106033106,0.004054435742498981,0.48265559755226484,0.0009784458302116573,-0.001114883865279607,0.0016082525724359145,62.36536949883505
permuted,8,0.0,3.0,7,26.366678803690437,0.06929084104548801,0.2226170149081964,0.3112558178630793,0.03608961435830756,-0.044548486292766594,0.05307214921043118,65.004961512041
permuted,8,3.0,6.0,30,105.30697117014462,0.09770749943234805,0.2824880289805889,0.3458819114740682,0.04995909571710568,-0.05162004811369535,0.08295858049690864,60.94573839897838
permuted,8,6.0,9.0,36,121.78995499511976,0.03830052666522191,0.24247197599506223,0.15795857029680768,0.019110661443557456,-0.003286987771428419,-0.03815921978007221,-47.46161731664992
permuted,8,9.0,12.0,54,188.63038632792285,0.03931481070838348,0.19712093637718758,0.19944512962923056,0.019955211220005643,0.021544053956343304,-0.032886290155050825,-28.385446472023798
permuted,8,12.0,15.0,72,253.1381839981177,0.005074342513137078,0.12014388848952991,0.04223554420397579,0.002546964264036706,0.005048423919729364,-0.0005122185737892801,-2.896733151871991
permuted,8,15.0,18.0,102,352.783679848272,0.004864161799447184,0.04122419276744823,0.11799289380599011,0.0024310990029226287,-0.0045988359827685765,-0.0015845433458237287,-80.49422453391848
permuted,8,18.0,21.0,96,332.15177078098986,0.0032089529069486496,0.018749574143394836,0.17114804221188729,0.0016044477212095389,-0.002986644943240718,-0.0011735973508954583,-79.27386712938524
permuted,8,21.0,24.0,120,415.12376968757064,0.003308219091847364,0.012434962334050226,0.2660417460846329,0.001654061114610474,-0.0030453191659910385,-0.0012924181741646328,-78.50193795446935
permuted,8,24.0,27.0,144,498.17192388565036,0.0033225941653569797,0.008925606110595891,0.3722541779445785,0.0016612727762512992,-0.003067903455688694,-0.0012757744213761342,-78.7101134994523
permuted,8,27.0,30.0,162,560.4350707064264,0.0033379227102158264,0.007011667957950692,0.4760525926546306,0.0016689473270911635,-0.003080018454126769,-0.001286551336563417,-78.66463427802431
permuted,8,30.0,33.0,180,622.7079290973313,0.0033333930021745826,0.0058334634279202345,0.5714260564693409,0.0016666873044261506,-0.003075117941031718,-0.0012865296559704039,-78.6485732184474
permuted,8,33.0,36.0,162,560.4418101497191,0.00331623067952525,0.005129780698526953,0.6464663646298809,0.0016581084644929054,-0.0030592071754429865,-0.0012800927222442317,-78.6468230302377
permuted,9,0.0,3.0,7,23.970056090883396,0.158637241849034,0.3330901145288041,0.47625923114964064,0.0794502556278271,0.1575504774639593,-0.018537031918496268,-3.3552200048160796
permuted,9,3.0,6.0,30,108.74785857881906,0.0397189134275075,0.2110203665734458,0.18822312780734982,0.020432216880146008,-0.009985037235304164,-0.03844334942836569,-52.27996444982674
permuted,9,6.0,9.0,36,125.00017832824383,0.024778592542803502,0.22893943731177238,0.10823208457990455,0.012519970944889698,-0.02352222847920622,-0.007789956082950476,-80.83822978280874
permuted,9,9.0,12.0,54,187.65339335211667,0.04527943172445813,0.18302911167262656,0.24738923393480045,0.022993780174904634,-0.023586138323588433,0.038651274445617154,60.69638157784221
permuted,9,12.0,15.0,72,250.99768885764666,0.02027366625509996,0.09786276826679856,0.20716424248115323,0.010188794195706175,0.008313416020601747,-0.018490772225398838,-32.895703540215194
permuted,9,15.0,18.0,102,353.0928411767733,0.004807775505170868,0.03389924654817937,0.14182543846034476,0.002404004720275021,-0.003989507181386703,-0.0026830090864149014,-73.0392602035006
permuted,9,18.0,21.0,96,332.04509583691515,0.005258178085743852,0.016756409548091097,0.31380100078437556,0.0026290346914764093,-0.0037853491737117446,-0.003649598390847504,-68.02300858297674
permuted,9,21.0,24.0,120,414.920011951332,0.0054676656760472946,0.012469448471660923,0.43848496495041894,0.002733766957711252,-0.003997712571534539,-0.003730102162196153,-68.49166600386661
permuted,9,24.0,27.0,144,498.02529692173925,0.005263854775536665,0.0096349529788804,0.5463290570358689,0.00263189060939,-0.0037666968981752,-0.003676977233437472,-67.84528037649999
permuted,9,27.0,30.0,162,560.2361416569186,0.005329640281080724,0.008083258952226668,0.6593430091228967,0.0026647936059578763,-0.003831284228395881,-0.0037049057595252262,-67.9803670191825
permuted,9,30.0,33.0,180,622.4856692765516,0.005326425213081719,0.007163674634445824,0.7435325422891387,0.002663191885340415,-0.0038284431606066902,-0.003703218669827168,-67.97626765204085
permuted,9,33.0,36.0,162,560.2439480899792,0.005296298502737936,0.00666358202500524,0.7948125321881621,0.0026481317020961856,-0.003805291961577712,-0.0036838201526752288,-67.96462194961053
permuted,10,0.0,3.0,7,24.140075600218154,0.049191792175670074,0.3135696656096167,0.15687675681266994,0.024889682589158076,0.04682256101979747,0.015082446651709306,8.927373612605694
permuted,10,3.0,6.0,30,107.75192558229834,0.06303791644743734,0.2677241779810707,0.23545843682408993,0.03262757766867946,0.061515126307479004,-0.013772005860040699,-6.309644585909264
permuted,10,6.0,9.0,36,126.46848291261041,0.06983479515421233,0.24847742630437147,0.28105086322275596,0.03502335297162533,-0.0032398259948680855,-0.06975960250570365,-46.32953069832577
permuted,10,9.0,12.0,54,188.0033117655169,0.03227095871449276,0.18903382409611055,0.17071526150835958,0.01635367562338473,-0.014715443370959168,0.028720558886424722,58.56453371727249
permuted,10,12.0,15.0,72,248.82047540819508,0.02558474971251059,0.11907319705484642,0.2148657325521038,0.012785266972647997,-0.011042206273822639,0.02307919189352527,57.78435841186389
permuted,10,15.0,18.0,102,352.58462087713065,0.000994808739664338,0.054472648100734725,0.018262536784051077,0.00049702240410542,0.0005822106511584372,0.0008066443988463673,27.08971466563217
