eta,realization,i,j,delta,W_real,W_imag,area
0.0,0,-10,-10,2.6645352591003757e-15,-2.6645352591003757e-15,0.0,3.464101615137757
0.0,0,-10,-9,2.220446049250313e-15,1.7763568394002505e-15,1.3322676295501878e-15,3.464101615137751
0.0,0,-10,-8,4.884981308350689e-15,4.884981308350689e-15,0.0,3.4641016151377535
0.0,0,-10,-7,4.884981308350689e-15,4.884981308350689e-15,0.0,3.4641016151377535
0.0,0,-10,-6,4.440892098500626e-16,4.440892098500626e-16,0.0,3.4641016151377553
0.0,0,-10,-5,8.881784197001252e-16,-8.881784197001252e-16,0.0,3.464101615137756
0.0,0,-10,-4,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377526
0.0,0,-10,-3,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,-10,-2,0.0,0.0,0.0,3.464101615137755
0.0,0,-10,-1,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,-10,0,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,-10,1,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,-10,2,0.0,0.0,0.0,3.4641016151377544
0.0,0,-10,3,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377544
0.0,0,-10,4,1.3322676295501878e-15,1.3322676295501878e-15,0.0,3.4641016151377526
0.0,0,-10,5,8.881784197001252e-16,-8.881784197001252e-16,0.0,3.464101615137756
0.0,0,-10,6,3.1086244689504383e-15,-3.1086244689504383e-15,0.0,3.464101615137757
0.0,0,-10,7,2.288783399261119e-15,1.7763568394002505e-15,-1.4432899320127035e-15,3.464101615137751
0.0,0,-10,8,8.881784197001252e-16,8.881784197001252e-16,0.0,3.4641016151377553
0.0,0,-10,9,2.220446049250313e-15,1.7763568394002505e-15,1.3322676295501878e-15,3.464101615137751
0.0,0,-9,-10,2.6645352591003757e-15,-2.6645352591003757e-15,0.0,3.464101615137757
