realization,shape,target_n,n,parameter,sum_W_real,sum_W_imag,total_area,delta_total,area_normalized_delta,orientation_null_squared,area_normalized_null_squared
0,rhombus,4,4,2.0,0.04079241570313741,-0.17990741976831456,13.72251712309912,0.1844741197745367,0.013443169217403367,0.018885347560989314,0.00010028995100310453
0,disk,4,7,2.8284271247461903,-0.09177243581748984,-0.09140323125820071,24.1444180225786,0.12952501943761835,0.005364594802678338,0.055891758506581145,9.587696781496227e-05
0,rhombus,16,16,4.0,-0.00784221281299402,0.09977995789977151,55.30052950844728,0.10008766307734666,0.0018098861614346394,0.10837637648629017,3.543855840265676e-05
0,disk,16,19,4.69041575982343,0.02646414275121156,0.11372206866712192,65.86666709401395,0.11676069438593664,0.0017726825955726552,0.1575321362332432,3.6310964563163035e-05
0,rhombus,49,49,7.0,0.06528120983242536,-0.12702269523486603,169.99408294916657,0.14281597061223514,0.0008401231862578504,0.33767751272132684,1.1685156417929045e-05
0,disk,49,55,7.615773105863909,-0.1654327851150068,-0.14891127138530127,190.1220670924196,0.22258161005908567,0.0011707300128968579,0.4009049023566214,1.1091143183557292e-05
0,rhombus,100,100,10.0,-0.05519419775033674,-0.011331037374879005,346.1024532775544,0.05634529149178467,0.0001627994570919697,0.8004681781452915,6.682434586627912e-06
0,disk,100,97,10.488088481701515,0.09882686348259684,-0.10854085973026939,335.34363539520245,0.14679191795461305,0.00043773581025809176,0.6777661387566816,6.026979737769112e-06
0,rhombus,225,225,15.0,-0.029295597404802365,0.029487562980443208,779.5384471616688,0.04156619296772159,5.332154317604961e-05,1.8093792292600457,2.977518861465484e-06
0,disk,225,223,15.748015748023622,-0.32213147703635325,0.4956717719932545,772.6281435012452,0.5911507371631668,0.0007651167539462197,1.8247680175346668,3.056797105055077e-06
0,rhombus,400,400,20.0,-0.05315579181516661,-0.04912308896247171,1385.8210883995985,0.07237828453833542,5.2227726323547835e-05,3.433782002238234,1.7879624280212082e-06
0,disk,400,397,20.97617696340303,-0.0837702268192908,0.38826054453088843,1374.8178499926082,0.3971947901732567,0.00028890721063549784,3.4308918744759356,1.8151674998364736e-06
1,rhombus,4,4,2.0,0.02207341341255642,0.05736083902606995,13.706636776715788,0.061461381642917326,0.004484059995470598,0.054481311501134624,0.00028999181835979624
1,disk,4,7,2.8284271247461903,-0.08955494397444985,-0.012123274690377855,23.81009869393617,0.09037179747844572,0.003795523850619785,0.07798666118224068,0.00013756182734465244
1,rhombus,16,16,4.0,0.016107531781209605,0.0005167877189330289,55.24628760485614,0.016115819855940232,0.00029170864784991733,0.1336500790307451,4.378879759319013e-05
1,disk,16,19,4.69041575982343,0.16790234222846134,-0.07078960926594176,65.44068609358888,0.1822151621183815,0.0027844323309475943,0.17770826825413943,4.1496545766772165e-05
1,rhombus,49,49,7.0,-0.06591051238232382,-0.048744183219531445,169.90680044746816,0.08197677134554467,0.0004824808137734915,0.3904664212170447,1.352577530935103e-05
