shape,target_n,n,parameter,realizations,integrated_rms,integrated_rms_ci_low,integrated_rms_ci_high,integrated_null_rms,integrated_null_rms_ci_low,integrated_null_rms_ci_high,integrated_ratio,integrated_ratio_ci_low,integrated_ratio_ci_high,area_normalized_rms,area_normalized_rms_ci_low,area_normalized_rms_ci_high,area_normalized_null_rms,area_normalized_null_rms_ci_low,area_normalized_null_rms_ci_high,area_normalized_ratio,area_normalized_ratio_ci_low,area_normalized_ratio_ci_high
rhombus,4,4,2.0,200,0.10854449253736641,0.10156009375176309,0.11534495047488712,0.19565931185421034,0.187923543470059,0.2036627441198712,0.5547627225544219,0.5182774080721407,0.5930584190469523,0.007840325347692865,0.007331426771211551,0.008326434785259667,0.014142531682706428,0.013574465970728053,0.014718806310616133,0.554379196284924,0.5174978908077607,0.5927111449687825
disk,4,7,2.8284271247461903,200,0.14537864924234853,0.13578530988236262,0.15465925092428182,0.2601404646593853,0.25177605900392364,0.2687901008732652,0.5588467347158004,0.5266144665455298,0.5897056108745603,0.005993607477723167,0.00559798022098078,0.006368104857255919,0.010727737947962319,0.010380036899203953,0.011083917379326647,0.5587018910041164,0.526371180257696,0.5894823221618576
rhombus,16,16,4.0,200,0.1147710928616978,0.10643160473832257,0.12409356696317243,0.39149722214545335,0.3827624115023135,0.4000090032134584,0.29315940540455937,0.2717084327212356,0.31729412606585367,0.0020724976256348867,0.0019216786032012353,0.002241263562447452,0.007066414408760567,0.006907231518901114,0.007222053719176755,0.29328843537190713,0.27185512441650356,0.3173679009910633
disk,16,19,4.69041575982343,200,0.14580948034315927,0.13600496620160138,0.15565358652748856,0.43011159264991994,0.4202678555085643,0.4402111172601598,0.3390038372247217,0.31601772481101165,0.36236746139143394,0.0022158778773280832,0.0020662998232372715,0.0023649954497735404,0.006537183843307715,0.006386767538647333,0.006688353292743572,0.33896520741060926,0.3159558238688077,0.36235737842886845
rhombus,49,49,7.0,200,0.1178871753531462,0.11055738282620285,0.1251122420852297,0.6959387743342043,0.6848981592976473,0.7071443745131736,0.1693930266580237,0.1587877406358306,0.17997099417651563,0.0006945140876882991,0.0006512462975873152,0.0007371658062114225,0.004100973830961975,0.004035904898497487,0.0041672770198455744,0.16935345513418829,0.15877857489410738,0.1799274133685515
disk,49,55,7.615773105863909,200,0.23690114171551463,0.2208024421151199,0.25269417183130677,0.7364062044003149,0.7252945767741116,0.7478796936123838,0.32169900294149845,0.299280241417721,0.34403510272455395,0.0012434656726075166,0.001159111616654855,0.001326527037426148,0.0038654496714107004,0.003807338527369708,0.003925569843188001,0.32168719768991644,0.2993060399057528,0.3440263745798243
rhombus,100,100,10.0,200,0.12059130256483341,0.11262683366484433,0.1281175751295469,0.9939506656598335,0.982745867335417,1.005559426659457,0.12132523950248472,0.11306929510858077,0.1293315468307061,0.0003480781476863314,0.0003250988401141676,0.00036978934346302937,0.0028690244733097867,0.002836789784442328,0.002902209469902165,0.12132282276587858,0.11307407734394519,0.12932414104515033
disk,100,97,10.488088481701515,200,0.3033046019225122,0.285410992400574,0.3218329897196278,0.980730607383971,0.9689325876225247,0.9922892542510092,0.30926393001188734,0.29063881352560306,0.3279148510745476,0.0009027945258594611,0.0008495780076937212,0.0009579978266563572,0.002919087971705219,0.002884005827607042,0.002953655861226347,0.30927280527694523,0.29060035704783044,0.32790010846704926
rhombus,225,225,15.0,200,0.11602655030799196,0.10766170375258405,0.1243240004982393,1.4942670672153513,1.4826551247599364,1.5059977774558237,0.07764779995065661,0.0722039405674382,0.08320418362022126,0.00014887002592964992,0.00013810950329597597,0.0001594981866445587,0.0019172019014897194,0.0019022865776929035,0.0019322208617235394,0.07764963398689192,0.07220621676636502,0.08320138284582797
disk,225,223,15.748015748023622,200,0.37135618756346594,0.3460296364419935,0.3967803114803013,1.4861375096795444,1.4751604518666057,1.4974222330701465,0.2498800986750825,0.233158495753372,0.266638632196342,0.0004807098922145038,0.0004479376100956209,0.0005136077987447914,0.0019237142517864398,0.0019095322948260974,0.0019384299136425494,0.2498863288911526,0.2331490917551619,0.26663863005714344
rhombus,400,400,20.0,200,0.126746891815253,0.11767508941408222,0.13544630631534035,2.001825728764104,1.9905889942554442,2.0124074615162764,0.06331564730837212,0.05863159312173925,0.06773131761519885,9.146955617553903e-05,8.492265720607751e-05,9.774664688205875e-05,0.001444702731014625,0.0014365988214716048,0.0014523130592311185,0.0633137559803042,0.05863021041158455,0.0677316034383198
disk,400,397,20.97617696340303,200,0.4210631718075186,0.3945299352152078,0.4490097535693448,1.9911968681853218,1.9801333325298316,2.0018254566058253,0.21146235138028052,0.19805744154845809,0.22548471212203486,0.00030616888936029667,0.0002868729668196476,0.0003264823982433934,0.0014479220150439309,0.0014399054482746368,0.0014556844954377573,0.21145399142992333,0.19805517415898796,0.2254810149122616
